Participant_ID,corrp,treatment,sex,age,age_quart,residence,party_affiliation,pol_ideo,edu,income
218,3,0,1,15,1,8,7,2,1,5
219,3,0,2,18,1,8,1,2,1,1
220,1,0,2,14,1,1,5,1,1,1
221,4,0,1,19,1,9,1,2,2,5
222,1,0,1,28,2,1,1,2,3,1
223,2,0,1,22,2,8,7,3,2,5
224,3,0,1,17,1,4,7,3,1,6
225,1,0,1,19,1,4,1,3,2,1
226,1,0,1,19,1,4,7,2,2,1
227,4,0,1,17,1,10,7,1,1,1
228,2,0,1,18,1,5,3,2,2,6
229,4,1,2,40,4,5,1,2,3,2
230,4,1,2,38,3,1,1,2,3,3
231,3,1,1,56,5,8,1,3,4,3
232,4,1,1,37,3,1,1,3,4,5
233,3,1,1,54,5,1,6,4,4,6
234,4,1,1,45,4,8,5,3,4,7
235,4,1,1,62,6,1,7,3,5,10
236,4,1,2,55,5,8,2,3,5,10
237,3,1,1,65,6,1,7,4,4,5
238,1,1,2,47,4,1,1,1,4,8
239,3,1,1,65,6,3,2,5,2,3
240,4,1,1,62,6,8,1,4,5,6
241,3,1,1,63,6,4,5,3,2,2
242,3,1,2,40,4,1,1,4,4,5
243,4,1,1,59,5,11,1,2,4,6
244,3,1,2,27,2,8,1,2,4,1
245,4,1,2,32,3,12,1,1,3,2
246,3,1,1,58,5,8,2,3,4,6
247,3,1,2,53,5,1,7,3,4,5
248,1,1,1,41,4,8,3,4,4,5
249,1,1,1,51,5,2,7,3,4,6
250,2,1,2,51,5,1,1,2,4,2
251,4,1,1,53,5,8,5,1,4,7
252,2,1,1,50,5,8,2,4,2,5
253,3,1,1,42,4,4,1,3,3,3
254,2,1,1,45,4,2,7,3,3,4
255,4,1,1,66,6,1,7,3,4,4
256,5,1,2,61,6,8,1,2,2,3
257,2,1,2,50,5,8,1,3,2,3
258,3,1,1,32,3,8,7,3,2,3
259,3,1,2,33,3,8,7,3,4,2
260,3,1,1,37,3,8,5,3,5,5
261,4,1,2,60,6,2,1,3,4,6
262,3,1,1,54,5,1,7,3,2,5
263,2,1,1,25,2,10,7,3,4,2
264,4,1,2,45,4,9,5,3,4,4
265,3,1,2,48,4,8,1,2,2,7
266,3,1,1,61,6,4,7,4,4,1
267,3,1,1,59,5,8,1,3,2,2
268,1,1,2,30,3,9,1,3,4,2
269,3,1,2,53,5,1,7,3,3,5
270,3,1,2,35,3,1,7,3,4,3
271,4,1,2,59,5,2,7,3,1,3
272,4,1,2,26,2,3,7,3,4,3
273,3,1,1,45,4,1,1,2,2,4
274,1,1,2,57,5,8,2,5,2,4
275,3,1,2,53,5,1,7,3,4,4
276,3,1,1,32,3,8,1,2,4,1
277,3,1,1,28,2,4,7,3,4,3
278,3,1,1,50,5,2,7,3,5,4
279,1,1,2,32,3,1,7,3,4,8
280,3,1,2,24,2,8,1,3,2,2
281,4,1,1,61,6,8,1,3,4,7
282,3,1,1,35,3,1,1,3,5,4
283,3,1,1,61,6,3,7,3,3,2
284,4,1,1,28,2,8,1,3,4,3
285,4,1,1,60,6,16,1,3,3,5
286,3,1,2,55,5,8,7,3,3,2
287,2,1,1,39,3,8,1,3,4,5
288,3,1,1,61,6,11,1,3,4,6
289,3,1,1,25,2,8,7,3,2,1
290,4,1,1,63,6,6,7,2,5,8
291,3,1,2,35,3,1,7,4,5,2
292,4,1,1,43,4,1,1,4,4,4
293,3,1,1,18,1,10,7,2,2,8
294,4,1,1,55,5,8,7,3,4,4
295,3,1,2,62,6,2,1,3,2,3
296,1,1,1,65,6,1,1,2,4,5
297,3,1,2,48,4,12,7,1,2,2
298,4,1,1,40,4,1,5,3,4,4
299,2,1,1,26,2,8,1,3,4,3
300,1,1,2,31,3,2,5,3,3,2
301,1,1,2,58,5,1,7,3,2,2
302,3,1,1,40,4,8,1,2,4,4
303,4,1,2,46,4,4,7,3,2,2
304,2,1,2,30,3,2,7,3,2,2
305,3,1,1,37,3,1,1,3,4,3
306,2,1,1,37,3,6,1,2,4,2
307,3,1,2,32,3,1,5,2,4,3
308,3,1,2,55,5,17,7,3,4,4
309,3,1,2,60,6,15,7,3,2,3
310,3,1,1,54,5,1,7,3,4,5
311,3,1,2,40,4,1,5,3,4,4
312,1,1,2,36,3,4,7,4,2,2
313,2,1,1,62,6,14,2,5,4,3
314,4,1,1,23,2,11,1,3,3,3
315,4,1,1,50,5,1,7,4,5,6
316,3,1,1,58,5,4,2,5,2,2
317,3,1,1,52,5,1,7,3,4,4
318,3,1,1,47,4,10,7,3,3,1
319,4,1,2,62,6,11,7,4,5,4
320,3,1,1,51,5,15,1,4,4,4
321,3,1,1,64,6,8,7,5,2,4
322,3,1,1,41,4,4,1,2,3,5
323,4,1,1,55,5,1,1,2,4,7
324,4,1,2,19,1,8,1,2,2,1
325,3,1,1,48,4,14,1,3,4,9
326,4,1,1,50,5,8,5,1,2,6
327,3,1,2,63,6,2,7,3,2,6
328,5,1,1,23,2,6,1,3,4,2
329,1,1,2,16,1,1,1,2,1,7
330,4,1,1,54,5,1,1,2,4,6
331,4,1,1,63,6,14,1,4,4,3
332,3,1,1,53,5,8,1,2,4,3
333,3,1,2,43,4,1,5,3,3,4
334,1,1,1,32,3,1,1,2,4,3
335,3,1,2,50,5,15,7,3,4,6
336,4,1,2,64,6,2,7,3,2,2
337,3,1,1,43,4,3,7,3,4,3
338,3,1,2,60,6,4,2,4,2,5
339,3,1,1,65,6,1,4,2,4,8
340,2,1,2,35,3,8,1,3,3,1
341,3,1,2,58,5,6,7,3,4,1
342,4,1,2,62,6,1,7,4,4,10
343,2,1,2,28,2,8,1,2,3,2
344,4,1,2,54,5,10,1,3,2,1
345,2,1,1,62,6,4,2,4,4,5
346,4,1,2,60,6,1,1,2,5,5
347,4,1,1,16,1,1,3,2,1,6
348,4,1,1,22,2,5,7,3,2,1
349,3,1,1,46,4,11,1,3,3,4
350,1,1,2,60,6,8,1,1,2,6
351,3,1,2,61,6,1,7,3,4,8
352,3,1,2,59,5,1,7,4,4,3
353,1,1,2,22,2,8,1,2,4,10
354,2,1,2,18,1,13,1,2,1,1
355,4,1,1,26,2,8,1,2,4,3
356,2,1,1,21,2,8,7,3,4,9
357,1,1,1,35,3,8,1,1,4,3
358,2,1,2,66,6,1,1,3,5,5
359,3,1,1,41,4,1,7,3,4,3
360,2,1,2,22,2,1,1,2,2,2
361,3,1,2,63,6,1,1,3,2,3
362,3,1,2,19,1,8,7,4,2,1
363,1,1,1,26,2,1,1,3,4,4
364,3,1,2,23,2,1,7,2,4,7
365,3,1,1,25,2,2,1,3,4,2
366,4,1,1,60,6,14,7,5,4,4
367,4,1,1,47,4,15,2,3,4,6
368,3,1,1,43,4,8,7,3,2,2
369,1,1,2,43,4,1,7,3,4,7
370,4,1,2,33,3,5,1,2,4,1
371,3,1,2,45,4,1,1,2,4,3
372,2,1,1,19,1,1,1,2,2,4
373,1,1,1,41,4,1,7,3,4,4
374,4,1,2,19,1,4,1,3,2,1
375,1,1,1,40,4,1,2,4,4,6
376,3,1,2,51,5,8,1,1,4,3
377,4,1,2,50,5,1,1,2,5,10
378,2,1,1,37,3,8,1,2,4,3
379,2,1,2,24,2,8,1,3,4,2
380,4,1,2,48,4,1,1,2,4,5
381,2,1,2,19,1,10,7,4,2,6
382,1,1,2,22,2,1,1,2,2,2
383,1,1,1,34,3,8,7,2,4,4
384,3,1,1,28,2,8,7,3,4,3
385,1,1,2,18,1,8,1,3,1,1
386,4,1,2,16,1,3,7,3,1,1
387,1,1,1,28,2,1,1,2,4,3
388,4,1,1,39,3,8,5,2,4,4
389,3,1,2,53,5,2,7,4,2,2
390,2,1,2,22,2,6,7,3,2,1
391,4,1,1,36,3,1,1,2,4,4
392,2,1,2,19,1,1,7,2,2,1
393,4,1,2,65,6,1,7,3,4,1
394,3,1,2,23,2,1,7,3,3,2
395,4,1,1,26,2,1,5,1,4,1
396,1,1,2,19,1,13,7,3,2,1
397,3,1,2,25,2,8,3,4,4,1
398,4,1,2,63,6,4,7,5,5,4
399,3,1,1,33,3,1,1,2,5,6
400,2,1,2,24,2,6,7,2,5,2
401,3,1,2,44,4,1,1,2,4,3
402,1,1,2,30,3,1,7,3,2,3
403,4,1,2,52,5,1,7,4,5,1
404,4,1,2,60,6,1,1,2,4,5
405,4,1,2,36,3,1,3,4,4,4
406,4,1,2,46,4,7,7,2,4,2
407,4,1,2,55,5,8,1,3,4,3
408,3,1,2,41,4,12,7,3,3,3
409,3,1,2,44,4,4,7,3,2,5
410,2,1,1,32,3,12,7,3,4,3
411,2,1,2,33,3,12,7,2,4,3
412,2,1,2,29,2,8,1,3,3,2
413,4,1,1,37,3,8,1,3,5,2
414,1,1,1,33,3,8,7,3,3,4
415,2,1,1,23,2,1,1,2,4,5
416,3,1,2,36,3,8,7,3,3,4
417,1,1,2,33,3,8,1,2,3,2
418,1,1,2,46,4,15,1,3,2,5
419,4,1,2,40,4,8,1,3,4,5
420,4,1,2,62,6,8,5,2,4,2
421,4,1,2,34,3,1,1,2,2,3
422,4,1,2,20,2,10,7,2,2,1
423,3,1,2,42,4,11,7,3,5,5
424,1,1,2,40,4,8,1,3,3,6
425,3,1,1,39,3,1,1,3,4,5
426,1,1,2,24,2,10,7,3,4,3
427,3,1,1,27,2,8,7,3,4,1
428,3,1,2,18,1,5,1,2,1,1
429,3,1,2,60,6,9,7,2,2,2
430,3,1,2,19,1,8,7,2,2,7
431,4,1,1,19,1,4,7,4,2,1
432,1,1,1,28,2,10,7,2,4,3
433,4,1,1,19,1,1,1,2,2,1
434,4,1,2,17,1,12,7,3,1,1
435,1,1,2,27,2,8,1,3,2,3
436,4,1,1,17,1,10,7,1,2,1
437,3,1,2,19,1,4,7,3,2,1
438,4,1,1,19,1,6,1,2,2,2
439,1,1,2,29,2,2,7,2,4,3
440,2,1,2,19,1,8,1,1,2,1
441,1,1,2,29,2,2,7,5,4,1
442,3,1,2,17,1,8,7,2,1,4
443,2,1,2,27,2,4,1,2,4,3
444,3,1,1,18,1,11,7,3,1,1
445,2,1,1,18,1,15,1,1,1,5
446,4,1,1,16,1,4,1,3,1,1
447,1,1,2,19,1,8,7,3,2,1
448,2,1,1,18,1,1,7,5,1,1
449,2,1,1,16,1,1,1,3,1,1
450,1,1,1,18,1,8,7,1,2,1
451,1,1,1,17,1,1,7,3,2,1
452,4,1,1,17,1,1,1,2,1,1
453,3,1,1,17,1,8,3,3,2,5
454,4,1,2,19,1,6,1,2,2,1
455,3,1,1,16,1,11,7,3,1,1
456,2,1,1,18,1,5,7,1,1,6
457,4,1,2,18,1,2,1,2,1,4
